It: 18400, Loss: 4.057e-01, Loss_u: 1.299e-01, Loss_r: 2.758e-01, Time: 0.04
It: 18500, Loss: 6.209e-01, Loss_u: 1.183e-01, Loss_r: 5.026e-01, Time: 0.05
It: 18600, Loss: 6.940e-01, Loss_u: 1.392e-01, Loss_r: 5.548e-01, Time: 0.04
It: 18700, Loss: 1.974e-01, Loss_u: 7.244e-02, Loss_r: 1.249e-01, Time: 0.05
It: 18800, Loss: 3.382e-01, Loss_u: 8.242e-02, Loss_r: 2.558e-01, Time: 0.04
It: 18900, Loss: 3.241e-01, Loss_u: 8.567e-02, Loss_r: 2.384e-01, Time: 0.04
It: 19000, Loss: 3.823e-01, Loss_u: 6.908e-02, Loss_r: 3.132e-01, Time: 0.04
It: 19100, Loss: 3.969e-01, Loss_u: 1.109e-01, Loss_r: 2.860e-01, Time: 0.05
It: 19200, Loss: 5.062e-01, Loss_u: 1.210e-01, Loss_r: 3.852e-01, Time: 0.04
It: 19300, Loss: 3.311e-01, Loss_u: 1.150e-01, Loss_r: 2.161e-01, Time: 0.04
It: 19400, Loss: 2.898e-01, Loss_u: 8.970e-02, Loss_r: 2.001e-01, Time: 0.05
It: 19500, Loss: 3.362e-01, Loss_u: 4.960e-02, Loss_r: 2.866e-01, Time: 0.04
It: 19600, Loss: 2.568e-01, Loss_u: 6.608e-02, Loss_r: 1.907e-01, Time: 0.04
It: 19700, Loss: 4.054e-01, Loss_u: 1.749e-01, Loss_r: 2.305e-01, Time: 0.05
It: 19800, Loss: 4.311e-01, Loss_u: 1.167e-01, Loss_r: 3.144e-01, Time: 0.04
It: 19900, Loss: 3.796e-01, Loss_u: 5.701e-02, Loss_r: 3.226e-01, Time: 0.05
It: 20000, Loss: 4.215e-01, Loss_u: 8.639e-02, Loss_r: 3.352e-01, Time: 0.04
constant_ics_val: 177.199
constant_bcs_val: 212.781
It: 20100, Loss: 2.933e-01, Loss_u: 9.129e-02, Loss_r: 2.020e-01, Time: 0.04
It: 20200, Loss: 2.693e-01, Loss_u: 7.094e-02, Loss_r: 1.984e-01, Time: 0.05
It: 20300, Loss: 1.076e+00, Loss_u: 1.723e-01, Loss_r: 9.033e-01, Time: 0.05
It: 20400, Loss: 4.793e-01, Loss_u: 2.413e-01, Loss_r: 2.380e-01, Time: 0.04
It: 20500, Loss: 3.879e-01, Loss_u: 8.789e-02, Loss_r: 3.000e-01, Time: 0.05
It: 20600, Loss: 3.830e-01, Loss_u: 8.722e-02, Loss_r: 2.958e-01, Time: 0.05
It: 20700, Loss: 3.831e-01, Loss_u: 1.144e-01, Loss_r: 2.687e-01, Time: 0.05
It: 20800, Loss: 3.284e-01, Loss_u: 1.097e-01, Loss_r: 2.188e-01, Time: 0.04
It: 20900, Loss: 4.788e-01, Loss_u: 1.252e-01, Loss_r: 3.536e-01, Time: 0.06
It: 21000, Loss: 3.015e-01, Loss_u: 7.323e-02, Loss_r: 2.283e-01, Time: 0.04
It: 21100, Loss: 2.901e-01, Loss_u: 9.698e-02, Loss_r: 1.931e-01, Time: 0.04
It: 21200, Loss: 3.193e-01, Loss_u: 8.510e-02, Loss_r: 2.342e-01, Time: 0.06
It: 21300, Loss: 4.187e-01, Loss_u: 8.891e-02, Loss_r: 3.298e-01, Time: 0.08
It: 21400, Loss: 2.708e-01, Loss_u: 4.861e-02, Loss_r: 2.221e-01, Time: 0.05
It: 21500, Loss: 2.176e-01, Loss_u: 4.805e-02, Loss_r: 1.696e-01, Time: 0.05
It: 21600, Loss: 2.952e-01, Loss_u: 1.025e-01, Loss_r: 1.927e-01, Time: 0.07
