It: 2210, Loss: 4.243e-02, Loss_u: 3.983e-02, Loss_r: 2.598e-03, Time: 0.06
It: 2220, Loss: 4.704e-02, Loss_u: 4.128e-02, Loss_r: 5.760e-03, Time: 0.08
It: 2230, Loss: 4.067e-02, Loss_u: 3.725e-02, Loss_r: 3.422e-03, Time: 0.05
It: 2240, Loss: 4.207e-02, Loss_u: 3.828e-02, Loss_r: 3.788e-03, Time: 0.05
It: 2250, Loss: 3.636e-02, Loss_u: 3.258e-02, Loss_r: 3.779e-03, Time: 0.05
It: 2260, Loss: 4.894e-02, Loss_u: 4.352e-02, Loss_r: 5.418e-03, Time: 0.05
It: 2270, Loss: 4.248e-02, Loss_u: 3.811e-02, Loss_r: 4.361e-03, Time: 0.05
It: 2280, Loss: 3.996e-02, Loss_u: 3.412e-02, Loss_r: 5.834e-03, Time: 0.06
It: 2290, Loss: 4.384e-02, Loss_u: 3.942e-02, Loss_r: 4.419e-03, Time: 0.06
It: 2300, Loss: 4.323e-02, Loss_u: 3.908e-02, Loss_r: 4.156e-03, Time: 0.05
It: 2310, Loss: 4.241e-02, Loss_u: 3.819e-02, Loss_r: 4.222e-03, Time: 0.05
It: 2320, Loss: 4.415e-02, Loss_u: 4.104e-02, Loss_r: 3.114e-03, Time: 0.05
It: 2330, Loss: 4.976e-02, Loss_u: 4.606e-02, Loss_r: 3.703e-03, Time: 0.05
It: 2340, Loss: 3.916e-02, Loss_u: 3.357e-02, Loss_r: 5.598e-03, Time: 0.05
It: 2350, Loss: 4.749e-02, Loss_u: 4.285e-02, Loss_r: 4.640e-03, Time: 0.06
It: 2360, Loss: 4.889e-02, Loss_u: 4.478e-02, Loss_r: 4.109e-03, Time: 0.05
It: 2370, Loss: 3.914e-02, Loss_u: 3.464e-02, Loss_r: 4.496e-03, Time: 0.06
It: 2380, Loss: 4.906e-02, Loss_u: 4.476e-02, Loss_r: 4.301e-03, Time: 0.05
It: 2390, Loss: 3.311e-02, Loss_u: 2.979e-02, Loss_r: 3.319e-03, Time: 0.07
It: 2400, Loss: 5.069e-02, Loss_u: 4.643e-02, Loss_r: 4.260e-03, Time: 0.26
It: 2410, Loss: 4.482e-02, Loss_u: 4.150e-02, Loss_r: 3.322e-03, Time: 0.18
It: 2420, Loss: 4.938e-02, Loss_u: 4.541e-02, Loss_r: 3.962e-03, Time: 0.06
It: 2430, Loss: 3.794e-02, Loss_u: 3.315e-02, Loss_r: 4.793e-03, Time: 0.05
It: 2440, Loss: 4.356e-02, Loss_u: 3.952e-02, Loss_r: 4.043e-03, Time: 0.05
It: 2450, Loss: 4.106e-02, Loss_u: 3.597e-02, Loss_r: 5.091e-03, Time: 0.09
It: 2460, Loss: 4.638e-02, Loss_u: 4.078e-02, Loss_r: 5.600e-03, Time: 0.05
It: 2470, Loss: 3.942e-02, Loss_u: 3.657e-02, Loss_r: 2.858e-03, Time: 0.05
It: 2480, Loss: 5.001e-02, Loss_u: 4.532e-02, Loss_r: 4.696e-03, Time: 0.08
It: 2490, Loss: 3.379e-02, Loss_u: 3.019e-02, Loss_r: 3.596e-03, Time: 0.05
It: 2500, Loss: 4.036e-02, Loss_u: 3.714e-02, Loss_r: 3.218e-03, Time: 0.06
It: 2510, Loss: 4.063e-02, Loss_u: 3.696e-02, Loss_r: 3.666e-03, Time: 0.05
It: 2520, Loss: 4.741e-02, Loss_u: 4.461e-02, Loss_r: 2.802e-03, Time: 0.05
It: 2530, Loss: 4.761e-02, Loss_u: 4.454e-02, Loss_r: 3.073e-03, Time: 0.05
It: 2540, Loss: 4.602e-02, Loss_u: 4.317e-02, Loss_r: 2.849e-03, Time: 0.07
It: 2550, Loss: 5.467e-02, Loss_u: 5.002e-02, Loss_r: 4.646e-03, Time: 0.06
It: 2560, Loss: 3.436e-02, Loss_u: 3.088e-02, Loss_r: 3.479e-03, Time: 0.05
It: 2570, Loss: 4.751e-02, Loss_u: 4.291e-02, Loss_r: 4.602e-03, Time: 0.05
It: 2580, Loss: 4.719e-02, Loss_u: 4.309e-02, Loss_r: 4.107e-03, Time: 0.05
It: 2590, Loss: 4.284e-02, Loss_u: 3.860e-02, Loss_r: 4.246e-03, Time: 0.05
